Company,Q Number,Quarters,Performance,Weights,Index Returns,Returns,Operating Margins,ROE,ROA,Dividend Yield,Earnings Yield,Debt to Equity,Book Value Per Share,Profit Margin,Total Debt to Total Asset,,,,,,,,,,
ABOITIZ POWER CORP,4,12/31/21,0,1.09,0.024414343,-0.041935484,24.1268,22.2525,181303.77,15.2958,13.0642,138.9555,19.924,16.7012,52.7963,,,,,,,,,,
ABOITIZ POWER CORP,1,3/31/22,1,1.29,0.01134974,0.212121212,17.4374,20.508,177307.156,5.9934,12.9077,150.6854,20.1059,12.6361,54.85,,,,,,,,,,
ABOITIZ POWER CORP,2,6/30/22,0,1.24,-0.145490993,-0.180555556,16.8304,19.9504,185265.766,6.2554,10.3368,155.239,19.8657,8.0644,55.5142,,,,,,,,,,
ABOITIZ POWER CORP,3,9/30/22,1,1.36,-0.067316174,0.044067797,20.4054,20.8542,188238.227,6.7449,14.1546,141.9622,21.7969,15.1501,52.8954,,,,,,,,,,
ABOITIZ POWER CORP,4,12/29/22,0,1.32,0.143757174,0.105519481,19.6987,20.8216,192284.796,5.1121,14.6388,128.1959,23.3844,17.9162,50.8192,,,,,,,,,,
ALLIANCE GLOBAL GROUP INC,4,12/29/16,0,1.7,-0.103423057,-0.196226415,25.3281,20.7507,70299.4858,-17.9937,17.4397,51.1539,13.8435,11.0176,26.249,,,,,,,,,,
ALLIANCE GLOBAL GROUP INC,1,3/31/17,0,1.55,0.068864902,-0.007824726,25.5707,23.0848,81470.4431,0,0,57.1609,14.3274,9.9562,28.6334,,,,,,,,,,
ALLIANCE GLOBAL GROUP INC,2,6/30/17,1,1.69,0.072683308,0.127760252,22.5073,23.0809,84444.0725,-22.098,26.3876,61.9149,14.6827,10.7847,30.3348,,,,,,,,,,
ALLIANCE GLOBAL GROUP INC,3,9/29/17,1,1.81,0.041854304,0.121678322,22.3472,22.0666,90989.7679,-39.1604,22.7366,73.8153,14.9871,9.8678,34.3121,,,,,,,,,,
ALLIANCE GLOBAL GROUP INC,4,12/29/17,0,1.71,0.047358908,-0.002493766,21.6847,20.9025,96461.0852,0,0,66.7679,15.3068,10.642,31.9746,,,,,,,,,,
ALLIANCE GLOBAL GROUP INC,1,3/28/18,0,1.52,-0.067604768,-0.175,22.6405,19.4424,110914.2691,0,0,64.6055,15.9845,13.1538,33.0828,,,,,,,,,,
ALLIANCE GLOBAL GROUP INC,2,6/29/18,0,1.09,-0.098517136,-0.11969697,23.7219,19.3459,112285.4124,0,0,65.0648,16.5847,10.8211,31.5419,,,,,,,,,,
ALLIANCE GLOBAL GROUP INC,3,9/28/18,1,1.15,0.011557367,0.074010327,23.8883,19.7207,107567.4384,0,0,59.4267,16.8688,12.0278,29.89,,,,,,,,,,
ALLIANCE GLOBAL GROUP INC,4,12/28/18,0,1.07,0.026000368,-0.046474359,21.6814,19.7281,121430.1102,0,0,61.5414,17.3319,11.6999,30.5927,,,,,,,,,,
ALLIANCE GLOBAL GROUP INC,1,3/29/19,1,1.37,0.060930723,0.357983193,13.4425,18.0801,136246.3092,0,0,66.8416,17.3672,6.5478,33.0165,,,,,,,,,,
ALLIANCE GLOBAL GROUP INC,2,6/28/19,0,1.29,0.009945802,-0.044554455,21.5445,18.0975,136546.0533,0,0,64.728,17.6268,11.0268,32.3074,,,,,,,,,,
ALLIANCE GLOBAL GROUP INC,3,9/30/19,0,0.94,-0.027581,-0.294041451,22.0522,18.2259,138416.3101,0,0,64.5802,17.8071,9.1594,32.21,,,,,,,,,,
ALLIANCE GLOBAL GROUP INC,4,12/27/19,1,1,0.004652227,0.069724771,22.2942,18.7015,146713.884,-5.2166,31.3577,69.1085,18.454,10.9742,33.5605,,,,,,,,,,
ALLIANCE GLOBAL GROUP INC,1,3/31/20,0,0.87,-0.3191231,-0.401372213,14.7527,19.7231,157962.6861,0,0,74.4752,18.26,9.5778,34.3346,,,,,,,,,,
ALLIANCE GLOBAL GROUP INC,2,6/30/20,0,0.73,0.166594941,-0.025787966,18.4287,18.4564,156813.5719,-1.4708,48.9989,74.1704,18.4952,7.9605,34.3373,,,,,,,,,,
ALLIANCE GLOBAL GROUP INC,3,9/30/20,1,0.79,-0.055332715,0.029411765,9.2475,14.4973,156302.4798,4.7971,40.0144,72.5039,18.564,3.7035,33.4978,,,,,,,,,,
ALLIANCE GLOBAL GROUP INC,4,12/29/20,1,0.99,0.217501701,0.514285714,14.6185,11.3478,151740.1107,-16.5388,31.0757,79.9992,18.5044,7.1456,35.2139,,,,,,,,,,
ALLIANCE GLOBAL GROUP INC,1,3/31/21,1,1.09,-0.097569789,0.003773585,8.4065,8.9084,153470.3551,0,0,78.7495,17.8461,8.2592,34.848,,,,,,,,,,
ALLIANCE GLOBAL GROUP INC,2,6/30/21,0,0.98,0.071211174,-0.045112782,18.0452,8.0886,154925.264,-1.4628,14.6682,77.0633,19.2402,8.3067,34.4279,,,,,,,,,,
ALLIANCE GLOBAL GROUP INC,3,9/30/21,1,0.98,0.007384912,0.013779528,23.4877,10.9957,152081.8533,-1.9436,21.3019,73.9379,19.8521,17.9565,34.0313,,,,,,,,,,
ALLIANCE GLOBAL GROUP INC,4,12/31/21,1,1.09,0.024414343,0.145631068,17.5171,12.1336,154648.3694,16.5557,23.4093,73.8147,20.3495,9.5643,33.9389,,,,,,,,,,
ALLIANCE GLOBAL GROUP INC,1,3/31/22,1,1.12,0.01134974,0.061016949,12.3026,12.6682,137615.6936,9.7568,22.6081,69.6273,20.4389,11.8261,33.1562,,,,,,,,,,
ALLIANCE GLOBAL GROUP INC,2,6/30/22,0,0.92,-0.145490993,-0.297124601,20.9131,13.4639,137740.9046,9.6448,23.1619,67.9614,22.6312,10.6817,32.6652,,,,,,,,,,
