Earnings per Share,Operating Margins,ROE,EPS Growth,Earnings Yield,Debt to Equity,Book Value Per Share,Net Debt to EBITDA,Current Ratio,Profit Margin,Total Debt to Total Asset,Return on Capital,FCF to Basic Share,Tangible Book value per Share,Performance
0.14,NA,NA,100,NA,NA,NA,NA,NA,25.51,NA,NA,NA,NA,0.0985
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0116
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.026
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0609
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0099
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0276
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0047
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3191
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1666
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0553
